UNIDAD,1,A dezena e a reta numérica
,OC-ES-001_M1-NyO-31a,Compõe e decompõe números naturais de 50 a 79,Composição e decomposição de números naturais de 50 a 79
LECCION,3.5,Números de 80 a 99
,OC-ES-001_M1-NyO-8a,Lê os números de 80 a 99,Números de 80 a 99
,OC-ES-001_M1-NyO-8b,Escreve os números de 80 a 99,Números de 80 a 99
,OC-ES-001_M1-NyO-8c,Ordena os números de 80 a 99,Números de 80 a 99
LECCION,3.6,Composição e decomposição de números de 80 a 99
,OC-ES-001_M1-NyO-32a,Compõe e decompõe números naturais de 80 a 99,Composição e decomposição de números naturais de 80 a 99
LECCION,3.7,A contagem até 99
,OC-ES-001_M1-NyO-38a,Conta coleções com até 100 itens,Contagem de coleções com até 100 itens
LECCION,3.8,Arredondamento para a dezena
,OC-ES-001_M1-NyO-12a,Identifica a dezena mais próxima de um determinado número,Aproximação à dezena mais próxima
LECCION,3.9,Números pares e ímpares
,OC-ES-001_M1-NyO-11a,Identifica números pares e ímpares em uma lista de números menores que 100,Números pares e ímpares

UNIDAD,4,Classificações e sequências
LECCION,4.1,Classificação por cor
,OC-ES-001_M1-NyO-23a,Organiza objetos ou figuras do cotidiano por cor,"Organização e ordenação de objetos ou figuras do cotidiano por atributos como cor, forma e tamanho"
LECCION,4.2,Classificação por forma
,OC-ES-001_M1-NyO-42a,Organiza objetos ou figuras do cotidiano por forma,Organização e ordenação de objetos ou figuras do cotidiano por atributos como forma
LECCION,4.3,Sequência numérica
,OC-ES-001_M1-NyO-20a,"Completa sequências numéricas, ascendentes e descendentes, de cadência 1, a partir de qualquer número",Sequências numéricas: ascendentes e descendentes de cadência 1 a partir de qualquer número
,OC-ES-001_M1-NyO-24a,"Completa sequências numéricas, ascendentes e descendentes, de cadência 2, a partir de qualquer número","Sequências numéricas: ascendentes e descendentes de cadência 2, a partir de qualquer número"
,OC-ES-001_M1-NyO-25a,"Completa sequências numéricas, ascendentes e descendentes, de cadência 5, a partir de qualquer número","Sequências numéricas: ascendente e descendente de cadências 5 e 10, a partir de qualquer número"
,OC-ES-001_M1-NyO-25b,"Sequências numérica completass: ascendentes e descendentes de cadência 10, a partir de qualquer número","Sequências numéricas: ascendente e descendente de cadências 5 e 10, a partir de qualquer número"
,OC-ES-001_M1-NyO-26a,"Completa sequências numéricas, ascendentes e descendentes, com padrões que não são cadências, a partir de qualquer número.",Sequências numéricas: ascendentes e descendentes com padrões de não-cadência a partir de qualquer número
,OC-ES-001_M1-NyO-44a,"Completa sequências numéricas, ascendentes e descendentes, de cadência 3, a partir de qualquer número","Sequências numéricas: ascendentes e descendentes de cadência 3, a partir de qualquer número"
LECCION,4.4,Número anterior e posterior
,OC-ES-001_M1-NyO-13a,Identifica o número que vem antes e o que vem depois de um determinado número,Número antecessor e sucessor
LECCION,4.5,A ordem de números naturais
,OC-ES-001_M1-NyO-14a,"Identifica o número maior, menor e igual a um determinado número (1 algarismo)","Relações de ordem: maior, menor e igual a (1 algarismo)"
,OC-ES-001_M1-NyO-39a,"Identifica o número maior, menor e igual a um determinado número (2 algarismos)","Relações de ordem: maior, menor e igual a (2 algarismos)"

UNIDAD,5,Localização espacial
LECCION,5.1,"Em cima, embaixo e ao lado"
,OC-ES-001_M1-G-6a,"Localiza objetos aplicando os conceitos ""em cima"", ""embaixo"" e ""ao lado""","Localização de objetos aplicando os conceitos ""em cima"" e ""embaixo"""
LECCION,5.2,Direita e esquerda
,OC-ES-001_M1-G-4a,"Localiza objetos aplicando os conceitos ""esquerda"" e ""direita""","Localização de objetos aplicando os conceitos ""esquerda"" e ""direita"""
LECCION,5.3,Itinerários
,OC-ES-001_M1-G-7a,Desenha itinerários simples de acordo com as instruções dadas,Desenho e interpretação de itinerários
LECCION,5.4,"Interior, exterior e fronteira"
,OC-ES-001_M1-G-5a,"Localiza objetos aplicando os conceitos de ""dentro"", ""fora"" e ""fronteira"".","Localize objetos aplicando os conceitos “interior”, “exterior” e “borda”"
LECCION,5.5,Dentro e fora
,OC-ES-001_M1-G-1a,"Localiza objetos aplicando os conceitos ""dentro"" e ""fora""","Localização de objetos aplicando os conceitos ""dentro"" e ""fora"""
LECCION,5.6,Perto e longe
,OC-ES-001_M1-G-3a,"Localiza objetos aplicando os conceitos ""perto"" e ""longe""","Localização de objetos aplicando os conceitos ""perto"" e ""longe"""
LECCION,5.7,Na frente e atrás
,OC-ES-001_M1-G-2a,"Localiza objetos aplicando os conceitos ""na frente"" e ""atrás""","Localização de objetos aplicando os conceitos ""na frente"" e ""atrás"""

UNIDAD,6,A adição
LECCION,6.1,A adição horizontal
,OC-ES-001_M1-NyO-15a,"Efetua adições com suporte visual (um algarismo, duas parcelas, horizontal)",Adição com cálculo horizontal
,OC-ES-001_M1-NyO-15b,"Efetua adições sem suporte visual (um algarismo, duas parcelas, horizontal)",Adição com cálculo horizontal
,OC-ES-001_M1-NyO-53a,"Efetua adições sem suporte visual (números menores que 20, duas parcelas, horizontal)",Adição com cálculo horizontal II
LECCION,6.2,A adição vertical
,OC-ES-001_M1-NyO-16a,"Efetua adições sem suporte visual (um algarismo, duas parcelas, vertical)",Adição com cálculo vertical (1)
,OC-ES-001_M1-NyO-16b,"Efetua adições sem suporte (dois algarismos, duas parcelas, sem agrupamento)",Adição com cálculo vertical (1)
,OC-ES-001_M1-NyO-45a,"Efetua adições sem suporte visual (um dígito, três parcelas)",Adição com cálculo vertical (2)
,OC-ES-001_M1-NyO-45b,"Efetua adições sem suporte visual (dois algarismos, duas parcelas, com reagrupamento)",Adição com cálculo vertical (2)
LECCION,6.3,A propiedade comutativa e associativa da adição
,OC-ES-001_M1-NyO-17a,Aplica a propriedade comutativa da adição,Propriedade comutativa da adição
,OC-ES-001_M1-NyO-40a,Aplica a propriedade associativa da adição,Propriedade associativa da adição

UNIDAD,7,A subtração
LECCION,7.1,A subtração horizontal
,OC-ES-001_M1-NyO-18a,"Subtrai com suporte visual (sem agrupamento, um algarismo, horizontal)",Subtração (horizontal)
,OC-ES-001_M1-NyO-18b,"Subtrai sem suporte visual (sem agrupamento, um algarismo, horizontal)",Subtração (horizontal)
,OC-ES-001_M1-NyO-18c,"Subtrai sem suporte visual (números menores que 20, horizontal)",Subtração (horizontal)
LECCION,7.2,A subtração vertical
,OC-ES-001_M1-NyO-19a,"Subtrai sem suporte visual (sem agrupamento, um algarismo, vertical)",Subtração (vertical)
,OC-ES-001_M1-NyO-19b,"Subtrai sem suporte visual (sem agrupamento, dois algarismos, vertical)",Subtração (vertical)
,OC-ES-001_M1-NyO-50a,"Subtrai com minuendos entre 10 e 90 e sustraendos múltiplos de 10 (10, 20, 30...)",Subtração de múltiplos de 10
LECCION,7.3,A relação entre a adição e a subtração
,OC-ES-001_M1-NyO-41a,Compreende a subtração como o inverso da adição,Compreensão da subtração como o inverso da adição
,OC-ES-001_M1-NyO-51a,Calcula o termo desconhecido na adição e subtração com números menores que 20,Termo desconhecido em adição e subtração
,OC-ES-001_M1-NyO-52a,Seleciona a adição ou subtração correta,Compreensão do sinal de igual

UNIDAD,8,Figuras geométricas
LECCION,8.1,Linhas retas e curvas
,OC-ES-001_M1-G-10a,Identifica linhas poligonais abertas e fechadas,Identifique linhas poligonais abertas e fechadas
,OC-ES-001_M1-G-16a,"Identifica linhas retas que se cruzam e que não se cruzam ",Linhas que se cruzam ou não se cruzam
,OC-ES-001_M1-G-8a,Identifica linhas retas e curvas,Identificando linhas retas e curvas
,OC-ES-001_M1-G-9a,Identifica linhas abertas e fechadas,Identifique linhas abertas e fechadas
LECCION,8.2,Figuras planas
,OC-ES-001_M1-G-11a,Classifica os triângulos e quadriláteros (quadrados e retângulos) por seu número de lados,"Identificação e classificação de formas planas (triângulo, quadrado, círculo, retângulo e losango)"
,OC-ES-001_M1-G-11b,Identifica formas circulares em objetos do entorno,"Identificação e classificação de formas planas (triângulo, quadrado, círculo, retângulo e losango)"
,OC-ES-001_M1-G-13a,"Distingue atributos característicos (""triângulos são fechados e têm três lados"") de atributos não característicos (por exemplo, cor, orientação, tamanho...) de formas planas","Distinguir atributos característicos (""triângulos são fechados e têm três lados"") e atributos não característicos (por exemplo, cor, orientação, tamanho...) de formas planas"
LECCION,8.3,Figuras geométricas
,OC-ES-001_M1-G-12a,Identifica o cubo e o bloco retangular em objetos do entorno,Sólidos geométricos
,OC-ES-001_M1-G-12b,Identifica a esfera e o cone em objetos do entorno,Sólidos geométricos
LECCION,8.4,A simetria
,OC-ES-001_M1-G-17a,Identifica simetrias em uma figura,Figuras com simetria
LECCION,8.5,Duplo e metade
,OC-ES-001_M1-NyO-21a,Multiplicação como uma repetição de adições,Iniciação à multiplicação
,OC-ES-001_M1-NyO-21b,Conhece o dobro de números menores que 10,Iniciação à multiplicação
,OC-ES-001_M1-NyO-22a,Conhece a metade dos pares menores que 20,Iniciação à divisão
LECCION,8.6,Composição e decomposição de figuras planas
,OC-ES-001_M1-G-14a,"Compoõe formas bidimensionais utilizando retângulos, quadrados, trapézios, triângulos, semicírculos e quartos de círculo (tangram)","Composição de figuras bidimensionais utilizando retângulos, quadrados, trapézios, triângulos, semicírculos e quartos de círculo (tangram)"
,OC-ES-001_M1-G-15a,"Decompõe círculos e retângulos em 2 e 4 partes e descreve-os como ""metades"" e ""quartos""","Decomposição de círculos e retângulos em 2 e 4 partes e descrição deles como ""metades"" e ""quartos"""

UNIDAD,9,"Medidas de comprimento, massa e capacidade"
LECCION,9.1,Estimação de quantidades
,OC-ES-001_M1-MyM-1a,"Distingue entre ""todos"", ""alguns"" e ""nenhum"".",Estimação de quantidades
,OC-ES-001_M1-MyM-1b,"Compara de acordo com os conceitos ""muitos"" e ""poucos"".",Estimação de quantidades
LECCION,9.2,Estimação de tamanhos
,OC-ES-001_M1-MyM-2a,Distingue objetos entre longo e curto,Comparação de medidas
,OC-ES-001_M1-MyM-2b,"Distingue objetos entre grande, pequeno e médio",Comparação de medidas
,OC-ES-001_M1-MyM-2c,Distingue entre largo e estreito com objetos,Comparação de medidas
LECCION,9.3,Medidas de comprimento
,OC-ES-001_M1-MyM-4a,Compara e ordena objetos de acordo com seu comprimento,Comparação e ordenação de medidas de comprimento
LECCION,9.4,"Palmo, pé e passo"
,OC-ES-001_M1-MyM-3a,"Faz medições com o palmo, o pé e o passo","Medições simples com unidades não convencionais: palmo, pé, passo"
LECCION,9.5,Medidas de massa
,OC-ES-001_M1-MyM-6a,Compara e ordena objetos de acordo com sua massa,Comparação e ordenação de medidas de massa
LECCION,9.6,Medidas de capacidade
,OC-ES-001_M1-MyM-5a,Compara e ordena objetos de acordo com sua capacidade,Comparação e ordenação de medidas de capacidade

UNIDAD,10,Medidas de tempo
LECCION,10.1,A hora do relógio
,OC-ES-001_M1-MyM-10a,Lê nos relógios analógicos a hora e a meia hora,Medidas de tempo: Leitura de relógios analógicos e digitais: A hora e a meia hora
,OC-ES-001_M1-MyM-10b,Lê nos relógios digitais a hora e a meia hora,Medidas de tempo: Leitura de relógios analógicos e digitais: A hora e a meia hora
LECCION,10.2,O calendário
,OC-ES-001_M1-MyM-12a,"Escreve uma data com dia, mês e ano e indica o dia da semana","Escrita de data com dia, mês e ano e indicação do dia da semana"
,OC-ES-001_M1-MyM-8a,"Identifica os dias da semana, associando-os a eventos escolares e meteorológicos","Identificação dos dias da semana, dos meses do ano e das estações do ano"
,OC-ES-001_M1-MyM-8b,Identifica os meses do ano associando-os a eventos escolares e meteorológicos,"Identificação dos dias da semana, dos meses do ano e das estações do ano"
,OC-ES-001_M1-MyM-8c,"Identifica as estações do ano, associando-as a eventos escolares e meteorológicos","Identificação dos dias da semana, dos meses do ano e das estações do ano"
LECCION,10.3,"Ontem, hoje e amanhã"
,OC-ES-001_M1-MyM-9a,"Usa as expressões de tempo ""ontem"", ""hoje"" e ""amanhã""","Uso das expressões de tempo ""ontem"", ""hoje"" e ""amanhã"""

UNIDAD,11,O dinheiro
LECCION,11.1,Moedas e notas
,OC-ES-001_M1-MyM-7a,Identifica as moedas e notas do sistema monetário brasileiro (até 50 reais),Sistema monetário
,OC-ES-001_M1-MyM-7b,Resolve situações cotidianas simples conhecendo os valores de moedas e notas,Sistema monetário
LECCION,11.2,Equivalência de valores
,OC-ES-001_M1-MyM-13a,Reconhece múltiplos e submúltiplos do real utilizando moedas e notas,Equivalência de valores
LECCION,11.3,Comparação de valores
,OC-ES-001_M1-MyM-14a,Compara os valores de moedas e notas,Comparação de valores

UNIDAD,12,Estatística e probabilidade
LECCION,12.1,Tabelas de frequência
,OC-ES-001_M1-EyP-1a,Elabora tabelas de registro de dados,Tabelas de registro de dados
,OC-ES-001_M1-EyP-1b,Responde a perguntas sobre dados em uma tabela de registro de dados,Tabelas de registro de dados
LECCION,12.2,Gráficos de colunas
,OC-ES-001_M1-EyP-2a,Responde a perguntas sobre as dados em um gráfico de barras,Gráficos de barras
LECCION,12.3,Gráficos pictóricos
,OC-ES-001_M1-EyP-3a,Responde a perguntas sobre as dados em um pictograma,Pictogramas
LECCION,12.4,Noção de acaso
,OC-ES-001_M1-EyP-4a,"Classificar eventos do acaso, tais como ""com certeza ocorrerá"", ""talvez ocorra"" e ""é impossível ocorrer"" em situações cotidianas","Classificação de eventos do acaso, tais como ""com certeza ocorrerá"", ""talvez ocorra"" e ""é impossível ocorrer"" em situações cotidianas"
